Date,SV reactor 1,SV reactor 2,SV reactor 3,SV reactor 4,mlss reactor 1,volume reactor 1,mlss reactor 2,volume reactor 2,mlss reactor 3,volume reactor 3,mlss reactor 4,volume reactor 4
23/03/2018 00:00,2.67,2.5,3.3,3.13,2024,330,2072,350,2172,280,2124,300
24/03/2018 00:00,2.04,1.9,3.13,3.5,2392,460,2420,440,2276,340,2000,280
25/03/2018 00:00,2.39,2.2,2.56,2.69,2068,360,2020,400,2088,340,2104,320
26/03/2018 00:00,2.34,1.99,2.24,2.29,2016,400,2116,520,2168,420,2168,440
27/03/2018 00:00,1.86,2.11,2.83,2.57,2448,440,2324,420,2128,330,2364,400
28/03/2018 00:00,2.27,2.33,2.09,1.97,2116,410,2084,410,2356,520,2392,520
29/03/2018 00:00,2.09,2.49,1.37,1.89,2180,420,2116,370,2448,490,2264,420
30/03/2018 00:00,1.86,2.26,1.86,1.86,2424,390,1908,380,2116,440,2256,420
31/03/2018 00:00,1.66,1.63,1.4,2.49,1936,540,1976,580,2000,570,2144,450
01/04/2018 00:00,2.26,2.09,1.9,2.17,2100,350,2080,330,2188,400,2132,380
02/04/2018 00:00,2.16,2.49,2,1.86,2036,460,2672,400,2248,500,2128,550
03/04/2018 00:00,1.81,2.27,1.73,1.97,1944,360,1968,340,2280,500,2108,420
04/04/2018 00:00,2.73,2.57,2.71,2.41,1728,350,2092,360,2160,480,2024,460
05/04/2018 00:00,3.06,2.96,2.46,2.46,,330,,330,,430,2024,420
06/04/2018 00:00,2.63,2.57,2.34,2.46,1876,340,1992,380,2016,400,2064,370
07/04/2018 00:00,2.79,2.71,2.09,2.51,1856,390,1804,370,2108,530,2020,400
08/04/2018 00:00,2.76,2.74,2.51,2.67,1780,340,1868,330,2020,380,1932,350
09/04/2018 00:00,2.84,2.01,2.84,2.04,1752,280,2052,390,1960,320,2128,380
10/04/2018 00:00,2.63,2.23,2.43,2.2,1782,340,2228,300,2092,350,2148,370
11/04/2018 00:00,2.73,2.91,2.69,2.69,1860,360,1884,340,1940,360,2004,340
12/04/2018 00:00,2.94,3.03,3,2.83,1860,330,1844,300,1952,320,2108,360
13/04/2018 00:00,2.99,2.87,2.44,2.46,,310,,310,,320,,330
