Date,F_M - A,F_M - B,Sludge Age - A,Sludge Age - B
01/05/2010 7:00,0.19,0.15,3.53,3.39
02/05/2010 7:00,0.23,0.20,3.26,2.95
03/05/2010 7:00,0.25,0.22,3.02,2.88
04/05/2010 7:00,0.24,0.23,3.33,2.76
05/05/2010 7:00,0.23,0.22,3.72,2.98
06/05/2010 7:00,0.26,0.25,3.42,2.47
07/05/2010 7:00,0.28,0.27,2.49,2.11
08/05/2010 7:00,0.18,0.18,2.61,2.51
09/05/2010 7:00,0.32,0.32,2.69,2.35
10/05/2010 7:00,0.32,0.31,1.99,2.14
11/05/2010 7:00,0.31,0.30,2.05,2.10
12/05/2010 7:00,0.34,0.32,2.89,2.73
13/05/2010 7:00,0.27,0.28,3.12,3.01
14/05/2010 7:00,0.26,0.28,2.80,2.56
15/05/2010 7:00,0.20,0.19,3.51,2.47
16/05/2010 7:00,0.27,0.27,3.46,3.22
17/05/2010 7:00,,,3.38,3.28
18/05/2010 7:00,,,2.72,2.93
19/05/2010 7:00,0.17,0.18,3.77,3.38
20/05/2010 7:00,0.24,0.22,2.65,2.95
21/05/2010 7:00,0.25,0.23,2.99,3.29
22/05/2010 7:00,0.18,0.16,8.23,3.29
23/05/2010 7:00,0.28,0.22,3.18,3.34
24/05/2010 7:00,0.22,0.20,3.34,3.41
25/05/2010 7:00,0.24,0.21,3.16,2.50
26/05/2010 7:00,,,,
27/05/2010 7:00,0.24,0.23,3.07,3.53
28/05/2010 7:00,0.22,0.24,3.05,3.12
29/05/2010 7:00,0.16,0.15,3.20,3.76
30/05/2010 7:00,0.24,0.22,3.61,
31/05/2010 7:00,0.24,0.21,3.07,2.78
01/06/2010 7:00,0.25,0.23,3.10,2.57
02/06/2010 7:00,0.24,0.22,2.82,2.30
03/06/2010 7:00,0.24,0.21,2.55,2.32
04/06/2010 7:00,0.26,0.22,2.76,2.58
05/06/2010 7:00,0.20,0.16,2.95,3.04
06/06/2010 7:00,0.25,0.22,2.40,2.72
07/06/2010 7:00,,,2.64,2.26
08/06/2010 7:00,0.26,0.22,3.04,2.27
09/06/2010 7:00,0.26,0.28,3.90,1.90
10/06/2010 7:00,0.24,0.23,2.95,2.70
11/06/2010 7:00,0.27,0.26,3.01,3.08
12/06/2010 7:00,0.14,0.14,3.40,3.31
13/06/2010 7:00,0.25,0.23,3.08,3.33
14/06/2010 7:00,0.23,0.21,3.13,3.06
