Date,F_M - A,F_M - B,Sludge Age - A,Sludge Age - B
23/06/2011 7:00,,,,2.58
24/06/2011 7:00,0.25,0.25,,2.33
25/06/2011 7:00,0.16,0.20,,2.60
26/06/2011 7:00,0.30,0.25,1.87,2.50
27/06/2011 7:00,,,1.94,2.50
28/06/2011 7:00,,,2.54,2.59
29/06/2011 7:00,,,2.62,2.32
30/06/2011 7:00,,,2.50,2.44
01/07/2011 7:00,0.29,0.26,2.96,2.61
02/07/2011 7:00,0.19,0.18,2.86,2.30
03/07/2011 7:00,0.27,0.25,2.86,2.32
04/07/2011 7:00,0.29,0.24,2.76,2.40
05/07/2011 7:00,0.27,0.22,2.41,2.35
06/07/2011 7:00,0.27,0.23,2.28,1.82
07/07/2011 7:00,,,2.07,1.94
08/07/2011 7:00,0.25,0.22,2.32,2.19
09/07/2011 7:00,0.20,0.19,2.39,2.29
10/07/2011 7:00,0.24,0.22,2.28,2.54
11/07/2011 7:00,0.26,0.25,2.65,2.22
12/07/2011 7:00,0.23,0.22,2.41,2.47
13/07/2011 7:00,0.23,0.21,1.95,1.90
14/07/2011 7:00,,,2.72,2.31
15/07/2011 7:00,0.24,0.22,2.73,2.37
16/07/2011 7:00,0.17,0.16,3.16,2.89
17/07/2011 7:00,0.26,0.22,1.91,2.15
18/07/2011 7:00,0.25,0.22,2.25,2.63
19/07/2011 7:00,0.23,0.21,2.40,2.45
20/07/2011 7:00,0.24,0.21,2.05,1.99
21/07/2011 7:00,,,2.33,1.93
22/07/2011 7:00,0.25,0.21,2.49,2.26
23/07/2011 7:00,0.19,0.18,2.62,2.51
24/07/2011 7:00,0.29,0.27,1.99,2.33
25/07/2011 7:00,0.23,0.23,2.98,2.22
26/07/2011 7:00,0.26,0.23,2.11,1.82
27/07/2011 7:00,0.26,0.24,2.48,2.32
28/07/2011 7:00,,,2.31,2.30
29/07/2011 7:00,0.24,0.22,2.24,2.32
30/07/2011 7:00,,,2.78,2.63
31/07/2011 7:00,,,2.31,2.21
01/08/2011 7:00,0.27,0.24,2.90,2.45
02/08/2011 7:00,0.30,0.27,2.22,2.21
03/08/2011 7:00,0.26,0.22,1.84,2.34
04/08/2011 7:00,,,2.19,2.52
05/08/2011 7:00,0.29,0.22,1.97,2.53
06/08/2011 7:00,0.21,0.18,2.09,2.69
07/08/2011 7:00,0.31,0.24,2.13,2.46
08/08/2011 7:00,0.29,0.21,2.70,2.58
09/08/2011 7:00,0.26,0.21,2.98,2.15
10/08/2011 7:00,,,2.49,2.20
11/08/2011 7:00,,,2.60,2.62
12/08/2011 7:00,0.21,0.23,2.92,2.11
13/08/2011 7:00,0.17,0.18,2.98,2.77
14/08/2011 7:00,0.25,0.25,2.74,2.43
15/08/2011 7:00,0.25,0.26,3.24,2.44
16/08/2011 7:00,0.25,0.23,2.26,2.56
17/08/2011 7:00,0.25,0.22,2.23,1.97
18/08/2011 7:00,,,2.38,1.91
19/08/2011 7:00,,,2.57,2.22
20/08/2011 7:00,,,,2.35
21/08/2011 7:00,0.22,0.24,2.39,2.28
22/08/2011 7:00,0.26,0.24,2.11,2.45
23/08/2011 7:00,0.26,0.26,2.30,2.18
24/08/2011 7:00,,,2.26,2.17
25/08/2011 7:00,,,2.41,2.20
26/08/2011 7:00,,,2.36,2.14
27/08/2011 7:00,,,2.62,2.38
28/08/2011 7:00,0.26,0.26,2.68,2.21
29/08/2011 7:00,0.32,0.30,2.22,2.21
30/08/2011 7:00,,,2.28,1.75
31/08/2011 7:00,0.28,0.25,2.30,2.14
01/09/2011 7:00,,,2.43,2.34
02/09/2011 7:00,0.29,0.28,2.39,2.06
03/09/2011 7:00,0.21,0.20,2.42,2.23
04/09/2011 7:00,0.31,0.28,2.35,2.24
05/09/2011 7:00,0.31,0.29,2.30,2.32
06/09/2011 7:00,0.30,0.28,2.79,2.22
07/09/2011 7:00,0.30,0.28,2.51,1.87
08/09/2011 7:00,,,2.88,1.79
09/09/2011 7:00,0.29,0.29,2.85,2.08
10/09/2011 7:00,0.19,0.19,2.53,2.35
11/09/2011 7:00,0.29,0.27,2.06,2.30
12/09/2011 7:00,0.24,0.23,2.28,2.26
13/09/2011 7:00,,,2.09,2.10
14/09/2011 7:00,,,2.14,1.83
15/09/2011 7:00,,,2.22,1.68
16/09/2011 7:00,0.25,0.24,2.16,2.00
17/09/2011 7:00,0.18,0.18,2.46,2.08
18/09/2011 7:00,0.26,0.25,2.17,2.05
19/09/2011 7:00,,,2.10,2.02
20/09/2011 7:00,0.26,0.25,2.39,2.00
21/09/2011 7:00,0.31,0.29,2.12,1.81
22/09/2011 7:00,,,2.46,1.53
23/09/2011 7:00,0.24,0.22,,1.70
24/09/2011 7:00,0.18,0.18,,
25/09/2011 7:00,0.28,0.27,,1.74
26/09/2011 7:00,0.26,0.23,,2.32
27/09/2011 7:00,,,2.10,1.66
28/09/2011 7:00,,,,2.07
29/09/2011 7:00,,,,2.47
30/09/2011 7:00,,,,2.37
01/10/2011 7:00,0.22,0.21,,2.37
02/10/2011 7:00,0.30,0.28,,2.34
03/10/2011 7:00,0.29,0.26,,2.39
04/10/2011 7:00,0.28,0.25,,2.41
05/10/2011 7:00,0.25,0.20,,2.41
06/10/2011 7:00,,,,2.58
07/10/2011 7:00,0.25,0.22,,2.54
08/10/2011 7:00,0.12,0.11,,3.05
09/10/2011 7:00,0.27,0.23,2.71,2.30
10/10/2011 7:00,0.27,0.23,1.95,2.34
11/10/2011 7:00,,,2.68,2.24
12/10/2011 7:00,,,2.16,2.14
13/10/2011 7:00,0.18,0.19,2.89,2.40
14/10/2011 7:00,,,2.58,2.32
15/10/2011 7:00,,,2.85,2.59
16/10/2011 7:00,0.30,0.28,2.96,2.28
17/10/2011 7:00,,,2.85,2.49
18/10/2011 7:00,,,2.73,2.32
19/10/2011 7:00,,,2.40,2.11
20/10/2011 7:00,0.34,0.26,2.63,2.83
21/10/2011 7:00,0.33,0.29,2.25,2.00
22/10/2011 7:00,0.26,0.30,2.77,1.71
23/10/2011 7:00,0.34,0.28,1.93,2.32
24/10/2011 7:00,0.30,0.27,2.54,2.24
25/10/2011 7:00,,,2.56,2.37
26/10/2011 7:00,0.25,0.27,2.31,2.11
27/10/2011 7:00,,,2.49,2.42
28/10/2011 7:00,,,2.57,2.32
29/10/2011 7:00,,,2.92,2.59
30/10/2011 7:00,0.27,0.27,2.06,2.63
31/10/2011 7:00,0.27,0.26,2.53,2.35
01/11/2011 7:00,0.27,0.27,2.41,2.28
02/11/2011 7:00,,,2.81,2.28
03/11/2011 7:00,,,2.64,2.30
04/11/2011 7:00,0.27,0.25,2.20,2.35
05/11/2011 7:00,0.21,0.18,2.26,2.36
06/11/2011 7:00,,,2.35,2.28
07/11/2011 7:00,0.24,0.24,2.58,2.36
08/11/2011 7:00,0.24,0.23,2.84,2.61
09/11/2011 7:00,0.26,0.25,2.63,2.50
10/11/2011 7:00,,,2.75,2.72
11/11/2011 7:00,0.24,0.21,2.41,2.78
12/11/2011 7:00,0.25,0.21,2.57,2.79
13/11/2011 7:00,0.28,0.24,2.43,2.62
14/11/2011 7:00,0.29,0.27,2.23,2.06
15/11/2011 7:00,0.24,0.21,5.48,2.22
16/11/2011 7:00,0.23,0.23,2.51,2.27
17/11/2011 7:00,,,1.98,2.19
18/11/2011 7:00,0.23,0.24,1.94,1.79
19/11/2011 7:00,0.21,0.19,2.07,2.15
20/11/2011 7:00,0.23,0.21,2.95,2.72
21/11/2011 7:00,0.24,0.22,3.12,2.64
22/11/2011 7:00,0.23,0.21,2.94,2.49
23/11/2011 7:00,0.22,0.21,2.47,2.59
24/11/2011 7:00,,,3.01,2.93
25/11/2011 7:00,0.26,0.23,2.49,2.69
26/11/2011 7:00,0.22,0.19,2.43,2.74
27/11/2011 7:00,0.26,0.19,2.98,1.98
28/11/2011 7:00,0.23,0.20,3.24,2.56
29/11/2011 7:00,0.22,0.22,,2.42
30/11/2011 7:00,0.24,0.23,3.00,2.45
01/12/2011 7:00,,,3.20,2.34
02/12/2011 7:00,0.23,0.20,2.89,2.67
03/12/2011 7:00,0.19,0.18,2.92,2.58
04/12/2011 7:00,0.25,0.23,3.33,2.42
05/12/2011 7:00,0.26,0.22,2.96,2.09
06/12/2011 7:00,0.25,0.21,3.58,2.36
07/12/2011 7:00,0.24,0.21,3.70,2.46
08/12/2011 7:00,,,3.73,2.58
09/12/2011 7:00,0.28,0.25,2.96,2.28
10/12/2011 7:00,0.19,0.17,4.36,2.72
11/12/2011 7:00,0.24,0.25,4.21,2.37
12/12/2011 7:00,0.21,0.23,4.00,2.46
13/12/2011 7:00,0.21,0.24,3.79,2.34
14/12/2011 7:00,0.23,0.26,3.18,2.46
15/12/2011 7:00,,,3.20,2.71
16/12/2011 7:00,0.21,0.25,3.00,2.50
17/12/2011 7:00,0.17,0.16,2.80,
18/12/2011 7:00,0.19,0.20,3.00,2.44
19/12/2011 7:00,0.24,0.26,3.00,2.42
20/12/2011 7:00,0.22,0.26,2.72,2.32
21/12/2011 7:00,0.25,0.22,3.19,2.89
22/12/2011 7:00,,,2.71,3.02
23/12/2011 7:00,0.22,0.22,2.60,2.62
24/12/2011 7:00,0.21,0.17,2.69,2.68
25/12/2011 7:00,,,2.45,2.30
26/12/2011 7:00,0.24,0.22,2.73,2.02
27/12/2011 7:00,0.26,0.22,2.33,2.46
28/12/2011 7:00,0.23,0.21,2.94,2.24
29/12/2011 7:00,,,2.70,2.29
30/12/2011 7:00,0.32,0.27,2.59,2.41
31/12/2011 7:00,,,,
01/01/2012 7:00,0.27,0.24,3.33,1.91
02/01/2012 7:00,,,2.28,1.66
03/01/2012 7:00,,,,1.86
04/01/2012 7:00,0.24,0.20,,2.09
05/01/2012 7:00,,,,2.09
06/01/2012 7:00,0.22,0.19,2.84,2.61
07/01/2012 7:00,,,3.63,2.66
08/01/2012 7:00,,,7.68,7.01
09/01/2012 7:00,,,7.10,6.81
10/01/2012 7:00,0.13,0.13,7.77,5.72
11/01/2012 7:00,,,5.58,5.70
12/01/2012 7:00,,,2.54,2.46
13/01/2012 7:00,0.25,0.27,2.72,2.44
14/01/2012 7:00,0.18,0.17,2.26,2.00
15/01/2012 7:00,0.23,0.22,2.96,2.57
16/01/2012 7:00,0.30,0.25,7.52,2.74
17/01/2012 7:00,0.23,0.24,5.39,2.84
18/01/2012 7:00,0.21,0.25,2.92,2.55
19/01/2012 7:00,,,2.89,2.32
20/01/2012 7:00,0.23,0.23,2.97,2.38
21/01/2012 7:00,0.19,0.19,3.46,2.86
22/01/2012 7:00,0.23,0.23,3.26,2.41
23/01/2012 7:00,,,3.01,2.23
24/01/2012 7:00,0.23,0.26,3.22,2.24
25/01/2012 7:00,0.23,0.24,3.05,2.26
26/01/2012 7:00,,,2.67,2.56
27/01/2012 7:00,0.28,0.26,2.54,2.17
28/01/2012 7:00,0.18,0.16,3.15,2.42
29/01/2012 7:00,0.27,0.26,2.82,2.26
30/01/2012 7:00,0.22,0.22,3.83,2.34
31/01/2012 7:00,,,,
01/02/2012 7:00,0.23,0.24,,
02/02/2012 7:00,,,3.53,2.23
03/02/2012 7:00,0.19,0.22,2.81,2.31
04/02/2012 7:00,0.18,0.18,3.13,2.58
05/02/2012 7:00,0.22,0.23,6.11,2.29
06/02/2012 7:00,0.21,0.22,3.13,2.37
07/02/2012 7:00,,,2.89,2.46
08/02/2012 7:00,0.23,0.24,2.86,2.24
09/02/2012 7:00,,,3.24,2.44
10/02/2012 7:00,0.20,0.22,2.98,2.15
11/02/2012 7:00,0.18,0.17,,2.66
12/02/2012 7:00,0.24,0.23,3.05,2.43
13/02/2012 7:00,0.24,0.22,3.03,2.48
14/02/2012 7:00,0.22,0.22,2.96,2.50
15/02/2012 7:00,0.25,0.24,3.32,2.68
16/02/2012 7:00,,,2.97,2.47
17/02/2012 7:00,0.24,0.22,2.73,2.37
18/02/2012 7:00,0.15,0.15,4.02,2.89
19/02/2012 7:00,0.19,0.19,3.33,2.71
20/02/2012 7:00,0.26,0.24,2.68,2.26
21/02/2012 7:00,0.23,0.22,3.06,2.62
22/02/2012 7:00,0.20,0.19,3.51,2.53
23/02/2012 7:00,,,3.28,2.65
24/02/2012 7:00,0.20,0.20,3.45,2.75
25/02/2012 7:00,0.18,0.16,3.54,2.52
26/02/2012 7:00,0.23,0.22,3.15,2.40
27/02/2012 7:00,0.26,0.21,2.88,2.60
28/02/2012 7:00,0.24,0.21,3.28,2.40
29/02/2012 7:00,0.26,0.23,2.73,2.30
01/03/2012 7:00,,,3.25,2.15
02/03/2012 7:00,0.22,0.20,3.35,2.40
03/03/2012 7:00,0.19,0.16,4.48,3.04
04/03/2012 7:00,0.26,0.23,2.57,1.96
05/03/2012 7:00,0.27,0.27,2.72,2.29
06/03/2012 7:00,0.22,0.22,2.80,2.66
07/03/2012 7:00,,,,2.31
08/03/2012 7:00,,,,2.51
09/03/2012 7:00,0.22,0.22,,2.63
10/03/2012 7:00,0.17,0.17,2.79,2.77
11/03/2012 7:00,0.24,0.23,2.65,2.44
12/03/2012 7:00,0.22,0.21,2.82,2.43
13/03/2012 7:00,0.23,0.22,2.78,2.71
14/03/2012 7:00,0.25,0.24,2.97,2.17
15/03/2012 7:00,,,2.39,2.37
16/03/2012 7:00,0.24,0.25,3.11,2.16
17/03/2012 7:00,0.19,0.19,3.57,2.99
18/03/2012 7:00,0.24,0.24,2.89,2.39
19/03/2012 7:00,,,2.94,2.27
20/03/2012 7:00,0.23,0.23,2.99,2.32
21/03/2012 7:00,,,2.64,2.36
22/03/2012 7:00,,,2.98,2.69
23/03/2012 7:00,0.29,0.24,2.63,2.44
24/03/2012 7:00,0.23,0.19,3.04,2.72
25/03/2012 7:00,0.33,0.29,2.95,2.51
26/03/2012 7:00,0.24,0.22,4.70,3.43
27/03/2012 7:00,0.21,0.22,3.85,2.83
28/03/2012 7:00,,,,4.48
29/03/2012 7:00,,,5.66,3.37
30/03/2012 7:00,0.19,0.19,6.16,2.93
31/03/2012 7:00,,,,
01/04/2012 7:00,0.20,0.22,3.19,2.49
02/04/2012 7:00,0.21,0.24,3.13,2.54
03/04/2012 7:00,0.24,0.24,2.74,2.21
04/04/2012 7:00,0.24,0.23,2.59,2.27
05/04/2012 7:00,,,,2.30
06/04/2012 7:00,0.23,0.22,,2.47
07/04/2012 7:00,0.16,0.16,2.74,2.64
08/04/2012 7:00,0.22,0.22,3.12,2.48
09/04/2012 7:00,0.24,0.23,3.45,2.93
10/04/2012 7:00,0.26,0.27,2.54,2.54
11/04/2012 7:00,0.20,0.21,2.82,2.93
12/04/2012 7:00,,,3.17,2.44
13/04/2012 7:00,,,3.51,2.90
14/04/2012 7:00,0.22,0.22,3.43,2.63
15/04/2012 7:00,0.28,0.28,2.90,2.50
16/04/2012 7:00,0.26,0.24,3.08,2.55
17/04/2012 7:00,0.27,0.24,2.44,2.37
18/04/2012 7:00,0.24,0.25,2.94,2.42
19/04/2012 7:00,,,3.01,2.51
20/04/2012 7:00,0.24,0.21,2.68,2.46
21/04/2012 7:00,0.19,0.16,2.83,2.85
22/04/2012 7:00,0.28,0.25,2.83,2.34
23/04/2012 7:00,0.22,0.21,3.62,2.44
24/04/2012 7:00,,,3.05,2.83
25/04/2012 7:00,,,3.28,2.70
26/04/2012 7:00,,,3.43,3.00
27/04/2012 7:00,0.27,0.25,2.85,2.56
28/04/2012 7:00,,,3.58,2.91
29/04/2012 7:00,0.25,0.23,3.00,2.53
30/04/2012 7:00,0.27,0.24,3.13,2.75
01/05/2012 7:00,0.27,0.26,3.08,2.53
02/05/2012 7:00,0.22,0.22,5.20,3.62
03/05/2012 7:00,,,3.53,2.43
04/05/2012 7:00,0.25,0.28,3.82,2.42
05/05/2012 7:00,0.23,0.21,3.47,2.57
06/05/2012 7:00,,,3.46,2.48
07/05/2012 7:00,0.26,0.27,2.68,2.31
08/05/2012 7:00,0.24,0.23,2.72,2.24
09/05/2012 7:00,0.27,0.26,2.84,2.35
10/05/2012 7:00,,,2.96,2.38
11/05/2012 7:00,0.34,0.32,2.59,2.22
12/05/2012 7:00,,,3.26,2.66
13/05/2012 7:00,,,2.73,2.41
14/05/2012 7:00,,,2.76,2.38
15/05/2012 7:00,0.23,0.24,2.68,2.34
16/05/2012 7:00,,,2.84,2.74
17/05/2012 7:00,,,3.31,2.33
18/05/2012 7:00,0.22,0.23,2.74,2.11
19/05/2012 7:00,0.18,0.20,3.10,2.55
20/05/2012 7:00,0.23,0.24,2.75,2.55
21/05/2012 7:00,0.22,0.22,2.74,2.34
22/05/2012 7:00,0.24,0.24,2.74,2.36
23/05/2012 7:00,0.24,0.24,2.61,2.43
24/05/2012 7:00,,,2.97,2.35
25/05/2012 7:00,,,2.86,2.32
26/05/2012 7:00,,,3.23,2.49
27/05/2012 7:00,0.20,0.20,3.02,2.53
28/05/2012 7:00,0.24,0.25,2.90,2.31
29/05/2012 7:00,0.24,0.26,3.21,2.33
30/05/2012 7:00,0.24,0.24,3.07,2.40
31/05/2012 7:00,,,3.94,2.27
01/06/2012 7:00,0.24,0.24,2.67,2.35
02/06/2012 7:00,0.17,0.17,2.97,2.56
03/06/2012 7:00,0.24,0.24,2.76,2.40
04/06/2012 7:00,0.25,0.24,2.79,2.45
05/06/2012 7:00,0.24,0.24,,2.31
06/06/2012 7:00,0.27,0.27,2.76,2.20
07/06/2012 7:00,,,2.75,2.46
08/06/2012 7:00,0.27,0.24,2.57,2.33
09/06/2012 7:00,0.21,0.19,2.78,2.47
10/06/2012 7:00,0.26,0.25,2.53,2.26
11/06/2012 7:00,0.25,0.22,2.42,2.23
12/06/2012 7:00,0.25,0.25,2.50,2.35
13/06/2012 7:00,0.23,0.23,3.01,2.22
14/06/2012 7:00,,,3.32,2.55
15/06/2012 7:00,0.26,0.24,2.72,2.12
16/06/2012 7:00,0.20,0.22,3.01,2.23
17/06/2012 7:00,0.25,0.25,2.29,2.54
18/06/2012 7:00,0.24,0.23,2.45,2.25
19/06/2012 7:00,0.23,0.24,2.81,2.08
20/06/2012 7:00,0.24,0.25,2.87,2.14
21/06/2012 7:00,,,2.99,2.18
22/06/2012 7:00,0.25,0.26,3.33,2.88
23/06/2012 7:00,0.19,0.21,2.52,2.06
24/06/2012 7:00,0.24,0.26,2.44,1.81
25/06/2012 7:00,0.25,0.27,3.07,2.42
26/06/2012 7:00,0.23,0.25,4.08,3.91
27/06/2012 7:00,0.23,0.22,2.64,1.98
28/06/2012 7:00,,,2.59,2.05
29/06/2012 7:00,0.26,0.22,1.87,2.15
30/06/2012 7:00,0.18,0.17,2.45,1.91
01/07/2012 7:00,0.28,0.25,2.05,1.82
02/07/2012 7:00,0.25,0.26,2.42,2.19
03/07/2012 7:00,0.23,0.24,2.15,2.01
04/07/2012 7:00,0.24,0.22,2.82,2.35
05/07/2012 7:00,,,3.28,2.29
06/07/2012 7:00,0.25,0.24,2.49,1.91
07/07/2012 7:00,0.21,0.20,2.44,2.47
08/07/2012 7:00,0.27,0.25,2.39,2.16
09/07/2012 7:00,0.25,0.25,2.51,2.24
10/07/2012 7:00,0.24,0.24,2.67,2.16
11/07/2012 7:00,0.24,0.25,2.39,1.88
12/07/2012 7:00,,,2.98,2.36
13/07/2012 7:00,0.27,0.25,2.64,2.35
14/07/2012 7:00,0.20,0.19,2.72,2.87
15/07/2012 7:00,0.27,0.25,2.86,2.68
16/07/2012 7:00,0.25,0.23,3.02,2.54
17/07/2012 7:00,0.23,0.22,2.76,2.47
18/07/2012 7:00,0.23,0.21,2.99,2.68
19/07/2012 7:00,,,3.19,2.55
20/07/2012 7:00,0.28,0.24,2.66,2.59
21/07/2012 7:00,0.20,0.18,3.02,2.97
22/07/2012 7:00,0.25,0.23,2.53,2.73
23/07/2012 7:00,0.26,0.25,2.98,2.66
24/07/2012 7:00,0.22,0.21,2.70,2.49
25/07/2012 7:00,0.22,0.21,2.65,2.60
26/07/2012 7:00,,,3.12,2.62
27/07/2012 7:00,0.26,0.23,2.57,2.52
28/07/2012 7:00,0.18,0.17,2.80,2.35
29/07/2012 7:00,0.21,0.20,2.48,2.77
30/07/2012 7:00,0.29,0.27,2.82,2.69
31/07/2012 7:00,0.24,0.23,2.71,2.62
01/08/2012 7:00,0.22,0.21,2.97,2.76
02/08/2012 7:00,,,2.37,3.56
03/08/2012 7:00,,,2.40,2.51
04/08/2012 7:00,0.18,0.17,2.89,3.00
05/08/2012 7:00,0.24,0.24,2.87,2.57
06/08/2012 7:00,0.26,0.27,2.65,2.44
07/08/2012 7:00,0.24,0.24,2.69,2.65
08/08/2012 7:00,0.26,0.26,2.55,2.28
09/08/2012 7:00,,,3.00,2.46
10/08/2012 7:00,,,2.68,2.23
11/08/2012 7:00,0.18,0.17,2.55,2.55
12/08/2012 7:00,0.23,0.23,2.89,2.52
13/08/2012 7:00,0.25,0.26,2.71,2.33
14/08/2012 7:00,0.22,0.22,2.89,2.51
15/08/2012 7:00,,,2.98,2.35
16/08/2012 7:00,,,2.58,2.10
17/08/2012 7:00,,,2.50,2.61
18/08/2012 7:00,0.16,0.17,3.33,3.87
19/08/2012 7:00,0.27,0.23,2.00,3.08
20/08/2012 7:00,0.27,0.24,2.26,2.22
21/08/2012 7:00,,,2.55,2.54
22/08/2012 7:00,0.24,0.24,2.52,2.76
23/08/2012 7:00,,,2.66,2.17
24/08/2012 7:00,0.27,0.27,2.36,2.24
25/08/2012 7:00,0.16,0.16,2.50,2.57
26/08/2012 7:00,0.24,0.23,2.16,1.93
27/08/2012 7:00,0.27,0.24,2.62,2.63
28/08/2012 7:00,0.25,0.24,2.84,2.45
29/08/2012 7:00,0.25,0.24,2.42,1.68
30/08/2012 7:00,,,2.70,1.99
31/08/2012 7:00,0.25,0.28,2.34,2.10
01/09/2012 7:00,0.21,0.22,2.48,2.46
02/09/2012 7:00,0.26,0.28,2.79,2.40
03/09/2012 7:00,0.24,0.26,2.73,2.25
04/09/2012 7:00,0.23,0.24,2.77,2.67
05/09/2012 7:00,0.22,0.22,2.67,2.43
06/09/2012 7:00,,,2.69,2.34
07/09/2012 7:00,0.25,0.26,2.47,2.32
08/09/2012 7:00,0.17,0.18,2.69,2.48
09/09/2012 7:00,0.24,0.26,2.23,2.81
10/09/2012 7:00,0.24,0.26,2.62,2.41
11/09/2012 7:00,0.26,0.27,2.58,2.33
12/09/2012 7:00,0.24,0.24,2.55,2.34
13/09/2012 7:00,,,2.94,2.99
14/09/2012 7:00,,,2.47,2.02
15/09/2012 7:00,,,2.47,2.42
16/09/2012 7:00,,,2.70,2.30
17/09/2012 7:00,,,3.02,2.96
18/09/2012 7:00,0.20,0.19,2.78,2.74
19/09/2012 7:00,0.24,0.24,2.42,2.29
20/09/2012 7:00,,,2.53,2.60
21/09/2012 7:00,0.30,0.26,2.12,2.35
22/09/2012 7:00,0.20,0.18,2.46,2.60
23/09/2012 7:00,0.29,0.30,2.51,2.30
24/09/2012 7:00,,,2.93,2.48
25/09/2012 7:00,,,5.81,2.63
26/09/2012 7:00,,,3.68,3.26
27/09/2012 7:00,,,2.51,2.47
28/09/2012 7:00,,,2.91,2.66
29/09/2012 7:00,,,3.07,2.85
30/09/2012 7:00,,,2.62,2.69
01/10/2012 7:00,0.16,0.18,3.08,2.75
02/10/2012 7:00,0.24,0.25,3.11,2.83
03/10/2012 7:00,0.23,0.24,2.94,2.75
04/10/2012 7:00,,,2.89,2.48
05/10/2012 7:00,,,2.64,2.74
06/10/2012 7:00,,,2.88,3.11
07/10/2012 7:00,,,2.78,2.46
08/10/2012 7:00,0.22,0.21,2.72,2.71
09/10/2012 7:00,0.28,0.27,3.35,2.38
10/10/2012 7:00,0.23,0.24,2.82,2.47
11/10/2012 7:00,,,2.81,2.59
12/10/2012 7:00,0.25,0.26,2.51,2.45
13/10/2012 7:00,0.20,0.19,2.70,2.82
14/10/2012 7:00,0.24,0.24,2.89,2.58
15/10/2012 7:00,0.24,0.24,2.89,4.13
16/10/2012 7:00,0.26,0.25,2.55,2.39
17/10/2012 7:00,,,2.79,2.33
18/10/2012 7:00,,,2.75,2.52
19/10/2012 7:00,0.22,0.24,3.24,2.76
20/10/2012 7:00,0.17,0.20,3.52,2.80
21/10/2012 7:00,0.20,0.23,3.33,2.21
22/10/2012 7:00,0.20,0.23,3.18,2.47
23/10/2012 7:00,0.23,0.23,2.50,2.54
24/10/2012 7:00,0.23,0.24,2.14,2.33
25/10/2012 7:00,,,2.41,2.38
26/10/2012 7:00,0.23,0.24,2.59,2.35
27/10/2012 7:00,0.16,0.18,3.32,2.69
28/10/2012 7:00,0.23,0.25,2.77,2.83
29/10/2012 7:00,0.24,0.25,3.00,2.52
30/10/2012 7:00,0.21,0.21,2.96,2.39
31/10/2012 7:00,0.20,0.23,2.77,2.36
01/11/2012 7:00,,,2.84,2.57
02/11/2012 7:00,0.25,0.25,2.83,2.52
03/11/2012 7:00,0.19,0.19,2.66,2.63
04/11/2012 7:00,0.22,0.23,2.91,2.46
05/11/2012 7:00,,,2.47,2.40
06/11/2012 7:00,0.22,0.23,3.14,2.45
07/11/2012 7:00,0.23,0.25,2.82,2.32
08/11/2012 7:00,,,3.12,2.64
09/11/2012 7:00,0.26,0.29,2.57,2.09
10/11/2012 7:00,,,2.42,2.60
11/11/2012 7:00,0.22,0.23,2.43,2.38
12/11/2012 7:00,,,2.52,2.36
13/11/2012 7:00,0.23,0.24,2.68,2.74
14/11/2012 7:00,0.21,0.21,2.79,3.13
15/11/2012 7:00,,,2.98,2.69
16/11/2012 7:00,0.18,0.19,2.62,2.26
17/11/2012 7:00,0.16,0.18,2.92,2.73
18/11/2012 7:00,0.22,0.23,2.85,2.49
19/11/2012 7:00,0.22,0.22,2.83,2.53
20/11/2012 7:00,,,1.94,2.46
21/11/2012 7:00,0.23,0.26,3.36,2.66
22/11/2012 7:00,,,2.56,1.94
23/11/2012 7:00,0.24,0.27,2.45,2.18
24/11/2012 7:00,0.16,0.18,2.74,2.56
25/11/2012 7:00,,,2.85,2.28
26/11/2012 7:00,0.20,0.21,2.20,2.24
27/11/2012 7:00,0.19,0.21,2.59,2.57
28/11/2012 7:00,0.21,0.23,2.70,2.64
29/11/2012 7:00,,,2.80,2.88
30/11/2012 7:00,0.27,0.26,2.72,2.51
01/12/2012 7:00,0.18,0.17,2.72,2.91
02/12/2012 7:00,0.22,0.22,2.63,2.59
03/12/2012 7:00,0.26,0.25,2.77,2.74
04/12/2012 7:00,0.26,0.24,2.71,2.60
05/12/2012 7:00,0.21,0.19,2.36,2.55
06/12/2012 7:00,,,2.28,2.48
07/12/2012 7:00,0.23,0.24,2.57,2.51
08/12/2012 7:00,0.19,0.19,2.48,2.58
09/12/2012 7:00,0.24,0.22,2.40,2.63
10/12/2012 7:00,0.27,0.26,2.52,2.63
11/12/2012 7:00,0.27,0.24,2.20,2.43
12/12/2012 7:00,,,2.43,2.73
13/12/2012 7:00,,,2.59,2.51
14/12/2012 7:00,,,2.44,2.54
15/12/2012 7:00,,,2.75,2.86
16/12/2012 7:00,,,2.82,2.94
17/12/2012 7:00,,,2.57,3.00
18/12/2012 7:00,,,2.51,1.98
19/12/2012 7:00,0.25,0.22,2.28,2.50
20/12/2012 7:00,,,2.42,2.82
21/12/2012 7:00,0.26,0.24,2.05,2.08
22/12/2012 7:00,0.18,0.15,2.45,2.95
23/12/2012 7:00,0.25,0.19,2.53,3.10
24/12/2012 7:00,0.23,0.19,2.92,2.83
25/12/2012 7:00,0.23,0.20,3.10,3.25
26/12/2012 7:00,0.20,0.19,2.60,2.92
27/12/2012 7:00,,,2.58,2.94
28/12/2012 7:00,0.21,0.21,2.67,2.91
29/12/2012 7:00,0.18,0.19,3.03,3.22
30/12/2012 7:00,0.22,0.21,2.44,2.66
31/12/2012 7:00,0.23,0.25,2.79,2.42
