date,Settling_velocity,SVI,SV_label,SVI_label
2018-04-17,3.04,169.16946028477219,good,reasonable
2018-04-18,2.83,187.1101871101871,reasonable,reasonable
2018-04-19,2.96,165.9528907922912,reasonable,reasonable
2018-04-20,3.2,170.55606323054053,good,reasonable
2018-04-21,3.06,175.15923566878982,good,reasonable
2018-04-22,2.87,183.93378450106158,reasonable,reasonable
2018-04-23,2.71,192.70833333333334,reasonable,bad
2018-04-24,3.17,166.32016632016632,good,reasonable
2018-04-25,3.23,174.0139211136891,good,reasonable
2018-04-26,3.37,183.8235294117647,good,reasonable
2018-04-27,3.16,160.75388026607538,good,reasonable
2018-04-28,2.6,157.44274809160305,reasonable,good
2018-04-29,2.89,154.0041067761807,reasonable,good
2018-04-30,2.96,187.14011516314778,reasonable,reasonable
2018-05-01,2.71,175.70281124497993,reasonable,reasonable
2018-05-02,3.06,158.3710407239819,good,good
2018-05-03,2.89,147.34774066797644,reasonable,good
2018-05-04,3.37,146.7710371819961,good,good
2018-05-05,3.23,159.9147121535181,good,good
2018-05-06,3.21,159.23566878980893,good,good
2018-05-07,2.99,183.06636155606407,reasonable,reasonable
2018-05-08,3.17,187.9699248120301,good,reasonable
2018-05-09,3.23,148.02631578947367,good,good
2018-05-10,3.2,149.16467780429593,good,good
2018-05-11,3.26,167.06443914081146,good,reasonable
2018-05-12,2.83,170.23346303501947,reasonable,reasonable
2018-05-13,3.43,176.05633802816902,good,reasonable
2018-05-14,3.16,116.27906976744185,good,good
2018-05-15,3.07,167.65285996055226,good,reasonable
2018-05-16,3.33,154.86725663716814,good,good
2018-05-17,3.1,163.8477801268499,good,reasonable
2018-05-18,3.26,166.99005263431343,good,reasonable
2018-05-19,2.97,170.13232514177693,reasonable,reasonable
2018-05-20,2.59,157.40740740740742,reasonable,good
2018-05-21,2.71,200.1953125,reasonable,bad
2018-05-22,3.03,178.19706498951783,good,reasonable
2018-05-23,3.29,146.72686230248306,good,good
2018-05-24,3.07,148.619957537155,good,good
2018-05-25,3.0,171.7171717171717,reasonable,reasonable
2018-05-26,2.79,139.86013986013987,reasonable,good
2018-05-27,2.99,166.32016632016632,reasonable,reasonable
2018-05-28,2.71,172.78617710583154,reasonable,reasonable
2018-05-29,2.81,164.83516483516485,reasonable,reasonable
2018-05-30,3.01,140.8450704225352,good,good
2018-05-31,3.2,168.1127982646421,good,reasonable
2018-06-01,2.91,199.80506822612085,reasonable,bad
2018-06-02,2.69,177.16535433070865,reasonable,reasonable
2018-06-03,2.76,179.26356589147287,reasonable,reasonable
2018-06-04,3.04,167.00404858299595,good,reasonable
2018-06-05,3.23,159.5744680851064,good,good
2018-06-06,3.04,145.0676982591876,good,good
2018-06-07,3.23,166.32016632016632,good,reasonable
2018-06-08,2.84,164.0577867091437,reasonable,reasonable
2018-06-09,3.03,161.79540709812107,good,reasonable
2018-06-10,3.16,186.04651162790697,good,reasonable
2018-06-11,3.17,163.04347826086956,good,reasonable
2018-06-12,3.0,171.67381974248926,reasonable,reasonable
2018-06-13,3.4,142.51781472684087,good,good
2018-06-14,3.23,137.06140350877192,good,good
2018-06-15,3.31,155.21064301552107,good,good
2018-06-16,3.57,156.59955257270693,good,good
2018-06-17,3.34,171.23287671232876,good,reasonable
2018-06-18,3.31,166.66666666666666,good,reasonable
2018-06-19,3.37,136.63967611336034,good,good
2018-06-20,3.37,156.25,good,good
2018-06-21,3.54,140.58679706601467,good,good
2018-06-22,3.44,152.8117359413203,good,good
2018-06-23,3.29,161.29032258064515,good,reasonable
2018-06-24,3.23,180.99547511312218,good,reasonable
2018-06-25,3.26,162.7906976744186,good,reasonable
2018-06-26,3.19,204.35967302452315,good,bad
2018-06-27,3.41,146.72686230248306,good,good
2018-06-28,3.34,162.03703703703704,good,reasonable
2018-06-29,3.46,159.4387755102041,good,good
2018-06-30,3.44,156.25,good,good
2018-07-01,2.97,185.38135593220338,reasonable,reasonable
2018-07-02,3.37,189.5734597156398,good,reasonable
2018-07-03,3.41,167.00404858299595,good,reasonable
2018-07-04,3.17,199.31662870159454,good,bad
2018-07-05,3.03,175.18939393939394,good,reasonable
2018-07-06,3.23,168.77637130801688,good,reasonable
2018-07-07,2.97,143.47826086956522,reasonable,good
2018-07-08,3.11,203.7444933920705,good,bad
2018-07-09,3.11,151.9916142557652,good,good
2018-07-10,3.0,165.19823788546256,reasonable,reasonable
2018-07-11,3.31,146.1038961038961,good,good
2018-07-12,3.37,169.68325791855204,good,reasonable
2018-07-13,3.4,156.59955257270693,good,good
2018-07-14,2.94,166.66666666666666,reasonable,reasonable
2018-07-15,3.26,147.05882352941177,good,good
2018-07-16,3.23,128.33675564681724,good,good
2018-07-17,3.49,140.3887688984881,good,good
2018-07-18,3.36,144.23076923076923,good,good
2018-07-19,3.43,129.03225806451613,good,good
2018-07-20,3.64,129.13223140495867,good,good
2018-07-21,3.54,106.06060606060606,good,good
2018-07-22,3.07,132.92433537832312,good,good
2018-07-23,3.77,127.77777777777777,good,good
2018-07-24,3.63,128.4796573875803,good,good
2018-07-25,3.64,130.1518438177874,good,good
2018-07-26,3.86,128.34821428571428,good,good
2018-07-27,3.89,142.67990074441687,good,good
2018-07-28,3.94,135.13513513513513,good,good
2018-07-29,3.74,130.97949886104783,good,good
