date,Settling_velocity,SVI,SV_label,SVI_label
2018-01-01,2.71,222.55192878338278,reasonable,bad
2018-01-02,2.4,221.17962466487936,bad,bad
2018-01-03,2.49,233.81294964028777,bad,bad
2018-01-04,2.43,239.48598130841123,bad,bad
2018-01-05,1.6,307.11206896551727,bad,bad
2018-01-06,1.63,287.1024734982332,bad,bad
2018-01-07,1.97,303.29289428076254,bad,bad
2018-01-08,1.34,264.70588235294116,bad,bad
2018-01-09,0.79,327.4268104776579,bad,bad
2018-01-10,1.6,229.66867469879517,bad,bad
2018-01-11,1.41,307.0175438596491,bad,bad
2018-01-12,1.29,318.62745098039215,bad,bad
2018-01-13,1.19,285.01628664495115,bad,bad
2018-01-14,1.1,323.4750462107209,bad,bad
2018-01-15,1.34,285.58875219683654,bad,bad
2018-01-16,0.86,283.9116719242902,bad,bad
2018-01-17,0.63,317.7004538577912,bad,bad
2018-01-18,0.77,333.3333333333333,bad,bad
2018-01-19,1.46,295.5426356589147,bad,bad
2018-01-20,1.0,280.41074249605055,bad,bad
2018-01-21,1.81,269.16058394160586,bad,bad
2018-01-22,1.1,317.46031746031747,bad,bad
2018-01-23,1.67,248.5089463220676,bad,bad
2018-01-24,2.23,240.96385542168676,bad,bad
2018-01-25,1.83,239.52095808383234,bad,bad
2018-01-26,1.39,313.5593220338983,bad,bad
2018-01-27,1.5,267.5438596491228,bad,bad
2018-01-28,1.26,264.3784786641929,bad,bad
2018-01-29,0.99,277.2963604852686,bad,bad
2018-01-30,1.69,236.9439071566731,bad,bad
2018-01-31,1.86,229.3577981651376,bad,bad
2018-02-01,1.71,291.75050301810865,bad,bad
2018-02-02,1.79,214.28571428571428,bad,bad
2018-02-03,1.5,279.9227799227799,bad,bad
2018-02-04,2.19,196.91780821917808,bad,bad
2018-02-05,2.11,196.46365422396858,bad,bad
2018-02-06,1.39,222.3230490018149,bad,bad
2018-02-07,1.19,301.9323671497585,bad,bad
2018-02-08,1.64,250.0,bad,bad
2018-02-09,1.11,269.2307692307692,bad,bad
2018-02-10,1.34,228.65853658536585,bad,bad
2018-02-11,1.8,277.2808586762075,bad,bad
2018-02-12,1.51,219.37842778793419,bad,bad
2018-02-13,2.73,176.9406392694064,reasonable,reasonable
2018-02-14,2.63,156.56565656565655,reasonable,good
2018-02-15,2.71,190.27484143763215,reasonable,bad
2018-02-16,2.54,207.0393374741201,reasonable,bad
2018-02-17,3.2,162.65060240963857,good,reasonable
2018-02-18,2.87,170.84282460136674,reasonable,reasonable
2018-02-19,3.11,162.92134831460675,good,reasonable
2018-02-20,2.79,145.34883720930233,reasonable,good
2018-02-21,2.54,157.65765765765767,reasonable,good
2018-02-22,2.86,159.88372093023256,reasonable,good
2018-02-23,2.67,180.55555555555554,reasonable,reasonable
2018-02-24,2.53,185.1851851851852,reasonable,reasonable
2018-02-25,2.49,174.52830188679246,bad,reasonable
2018-02-26,2.06,244.22735346358792,bad,bad
2018-02-27,2.94,158.56236786469344,reasonable,good
2018-02-28,2.49,155.0751879699248,bad,good
2018-03-01,1.7,260.91081593927896,bad,bad
2018-03-02,2.11,218.91418563922943,bad,bad
2018-03-03,1.89,212.85475792988314,bad,bad
2018-03-04,1.91,197.61029411764707,bad,bad
2018-03-05,1.37,218.44660194174756,bad,bad
2018-03-06,1.14,290.69767441860466,bad,bad
2018-03-07,1.31,263.92961876832845,bad,bad
2018-03-08,1.49,261.6747181964573,bad,bad
2018-03-09,1.76,236.75762439807383,bad,bad
2018-03-10,1.1,243.90243902439025,bad,bad
2018-03-11,1.43,258.1967213114754,bad,bad
2018-03-12,1.19,311.8609406952965,bad,bad
2018-03-13,1.6,205.88235294117646,bad,bad
2018-03-14,1.87,171.52658662092625,bad,reasonable
2018-03-15,1.97,173.01038062283737,bad,reasonable
2018-03-16,1.89,175.36704730831974,bad,reasonable
2018-03-17,2.09,153.39966832504146,bad,good
2018-03-18,1.81,178.25311942959001,bad,reasonable
2018-03-19,2.06,189.3939393939394,bad,reasonable
2018-03-20,2.86,141.1657559198543,reasonable,good
2018-03-21,2.625,156.13420875840623,reasonable,good
2018-03-22,2.39,171.10266159695817,bad,reasonable
2018-03-23,2.67,163.04347826086956,reasonable,reasonable
2018-03-24,2.04,192.30769230769232,bad,bad
2018-03-25,2.39,174.08123791102514,bad,reasonable
2018-03-26,2.34,198.4126984126984,bad,bad
2018-03-27,1.86,179.73856209150327,bad,reasonable
2018-03-28,2.27,193.7618147448015,bad,bad
2018-03-29,2.09,192.6605504587156,bad,bad
2018-03-30,1.86,160.8910891089109,bad,reasonable
2018-03-31,1.66,278.92561983471074,bad,bad
2018-04-01,2.26,166.66666666666666,bad,reasonable
2018-04-02,2.16,225.93320235756386,bad,bad
2018-04-03,1.81,185.1851851851852,bad,reasonable
2018-04-04,2.73,202.5462962962963,reasonable,bad
2018-04-05,3.06,191.89148503514176,good,bad
2018-04-06,2.63,181.2366737739872,reasonable,reasonable
2018-04-07,2.79,210.1293103448276,reasonable,bad
2018-04-08,2.76,191.01123595505618,reasonable,bad
2018-04-09,2.84,159.8173515981735,reasonable,good
2018-04-10,2.63,190.79685746352413,reasonable,bad
2018-04-11,2.73,193.5483870967742,reasonable,bad
2018-04-12,2.94,177.41935483870967,reasonable,reasonable
2018-04-13,2.99,178.85225711714273,reasonable,reasonable
2018-04-14,2.56,180.28515939557576,reasonable,reasonable
2018-04-15,2.86,181.71806167400882,reasonable,reasonable
2018-04-16,2.83,160.25641025641025,reasonable,reasonable
2018-04-17,2.84,173.1260169443977,reasonable,reasonable
2018-04-18,3.0,185.99562363238513,reasonable,reasonable
2018-04-19,2.9,166.32016632016632,reasonable,reasonable
2018-04-20,3.14,171.0114887825731,good,reasonable
2018-04-21,2.83,175.70281124497993,reasonable,reasonable
2018-04-22,3.21,180.24270997031607,good,reasonable
2018-04-23,2.71,184.7826086956522,reasonable,reasonable
2018-04-24,3.23,156.25,good,good
2018-04-25,2.86,180.18018018018017,reasonable,reasonable
2018-04-26,2.89,160.19417475728156,reasonable,reasonable
2018-04-27,3.17,156.58747300215984,good,good
2018-04-28,2.24,151.86915887850466,bad,good
2018-04-29,2.8,174.89711934156378,reasonable,reasonable
2018-04-30,3.06,171.16182572614107,good,reasonable
2018-05-01,2.49,185.0,bad,reasonable
2018-05-02,2.57,178.22736030828517,reasonable,reasonable
2018-05-03,2.54,182.40343347639484,reasonable,reasonable
2018-05-04,2.37,203.3271719038817,bad,bad
2018-05-05,2.31,174.12935323383084,bad,reasonable
2018-05-06,2.66,216.91973969631238,reasonable,bad
2018-05-07,2.67,205.69620253164558,reasonable,bad
2018-05-08,2.7,222.22222222222223,reasonable,bad
2018-05-09,3.23,173.61111111111111,good,reasonable
2018-05-10,2.79,160.59957173447538,reasonable,reasonable
2018-05-11,2.77,162.13389121338912,reasonable,reasonable
2018-05-12,2.73,169.90291262135923,reasonable,reasonable
2018-05-13,2.53,183.16831683168317,reasonable,reasonable
2018-05-14,2.96,164.2710472279261,reasonable,reasonable
2018-05-15,2.71,189.3939393939394,reasonable,reasonable
2018-05-16,2.7,178.57142857142858,reasonable,reasonable
2018-05-17,2.97,180.46709129511677,reasonable,reasonable
2018-05-18,3.17,175.2067120160736,good,reasonable
2018-05-19,2.63,169.94633273703042,reasonable,reasonable
2018-05-20,2.23,188.86679920477138,bad,reasonable
2018-05-21,2.5,203.88349514563106,bad,bad
2018-05-22,2.77,190.76305220883535,reasonable,bad
2018-05-23,2.69,126.51821862348179,reasonable,good
2018-05-24,3.01,162.60162601626016,good,reasonable
2018-05-25,2.97,154.14258188824664,reasonable,good
2018-05-26,2.64,135.13513513513513,reasonable,good
2018-05-27,2.83,170.77798861480076,reasonable,reasonable
2018-05-28,2.34,180.95238095238096,bad,reasonable
2018-05-29,2.83,191.0828025477707,reasonable,bad
2018-05-30,2.57,174.7311827956989,reasonable,reasonable
2018-05-31,2.83,180.0,reasonable,reasonable
2018-06-01,2.76,203.21361058601136,reasonable,bad
2018-06-02,1.63,220.83333333333334,bad,bad
2018-06-03,3.03,166.33064516129033,good,reasonable
2018-06-04,2.89,165.44117647058823,reasonable,reasonable
2018-06-05,2.71,180.22181146025878,reasonable,reasonable
2018-06-06,2.87,159.9147121535181,reasonable,good
2018-06-07,3.06,182.18623481781376,good,reasonable
2018-06-08,2.84,192.57826592375835,reasonable,bad
2018-06-09,2.6,202.97029702970298,reasonable,bad
2018-06-10,2.8,202.28215767634856,reasonable,bad
2018-06-11,3.11,162.93279022403257,good,reasonable
2018-06-12,3.0,181.2688821752266,reasonable,reasonable
2018-06-13,3.11,157.23270440251574,good,good
2018-06-14,2.97,132.92433537832312,reasonable,good
2018-06-15,3.34,142.99802761341223,good,good
2018-06-16,2.83,185.5287569573284,reasonable,reasonable
2018-06-17,3.17,175.98343685300208,good,reasonable
2018-06-18,3.34,168.997668997669,good,reasonable
2018-06-19,3.26,156.90376569037656,good,good
2018-06-20,3.14,155.60165975103735,good,good
2018-06-21,3.23,152.5054466230937,good,good
2018-06-22,3.37,158.07962529274005,good,good
2018-06-23,2.63,203.40586565752128,reasonable,bad
2018-06-24,3.09,161.29032258064515,good,reasonable
2018-06-25,3.11,173.61111111111111,good,reasonable
